Species_ID,Name,Genus,Family,Order,Class,Phylum,Kingdom,Superkingdom
1000373 , Rosellinia necatrix quadrivirus 1  , Quadrivirus , Quadriviridae , Ghabrivirales , Chrymotiviricetes , Duplornaviricota , Orthornavirae , Viruses 
100225 , Austwickia chelonae  , Austwickia , Dermatophilaceae , Micrococcales , Actinomycetes , Actinomycetota , , Bacteria 
1002689 , Occallatibacter riparius  , Occallatibacter , Acidobacteriaceae , Terriglobales , Terriglobia , Acidobacteriota , , Bacteria 
1003891 , Hardenbergia virus A  , Divavirus , Betaflexiviridae , Tymovirales , Alsuviricetes , Kitrinoviricota , Orthornavirae , Viruses 
1005039 , Fimbriimonas ginsengisoli  , Fimbriimonas , Fimbriimonadaceae , Fimbriimonadales , Fimbriimonadia , Armatimonadota , , Bacteria 
1005962 , Ogataea parapolymorpha  , Ogataea , Pichiaceae , Saccharomycetales , Saccharomycetes , Ascomycota , Fungi , Eukaryota 
1006 , Marivirga tractuosa  , Marivirga , Marivirgaceae , Cytophagales , Cytophagia , Bacteroidota , , Bacteria 
1006576 , Defluviitoga tunisiensis  , Defluviitoga , Petrotogaceae , Petrotogales , Thermotogae , Thermotogota , , Bacteria 
100716 , Chloroherpeton thalassium  , Chloroherpeton , Chloroherpetonaceae , Chlorobiales , Chlorobiia , Chlorobiota , , Bacteria 
1008 , Saprospira grandis  , Saprospira , Saprospiraceae , Saprospirales , Saprospiria , Bacteroidota , , Bacteria 
100886 , Catenibacterium mitsuokai  , Catenibacterium , Coprobacillaceae , Erysipelotrichales , Erysipelotrichia , Bacillota , , Bacteria 
100887 , Soil-borne cereal mosaic virus  , Furovirus , Virgaviridae , Martellivirales , Alsuviricetes , Kitrinoviricota , Orthornavirae , Viruses 
101192 , Methanomethylovorans hollandica  , Methanomethylovorans , Methanosarcinaceae , Methanosarcinales , Methanomicrobia , Euryarchaeota , , Archaea 
101385 , Aequorivita sublithincola  , Aequorivita , Flavobacteriaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
1014 , Weeksella virosa  , Weeksella , Weeksellaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
101534 , Candidatus Blochmannia pennsylvanicus  , Candidatus Blochmannia , Enterobacteriaceae , Enterobacterales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1018 , Capnocytophaga ochracea  , Capnocytophaga , Flavobacteriaceae , Flavobacteriales , Flavobacteriia , Bacteroidota , , Bacteria 
102116 , Stanieria cyanosphaera  , Stanieria , Dermocarpellaceae , Pleurocapsales , Cyanophyceae , Cyanobacteriota , , Bacteria 
102134 , Desulfoscipio gibsoniae  , Desulfoscipio , Desulfallaceae , Eubacteriales , Clostridia , Bacillota , , Bacteria 
10261 , Fowlpox virus  , Avipoxvirus , Poxviridae , Chitovirales , Pokkesviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
1027273 , Endozoicomonas montiporae  , Endozoicomonas , Endozoicomonadaceae , Oceanospirillales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
10273 , Myxoma virus  , Leporipoxvirus , Poxviridae , Chitovirales , Pokkesviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
10276 , Swinepox virus  , Suipoxvirus , Poxviridae , Chitovirales , Pokkesviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
10279 , Molluscum contagiosum virus  , Molluscipoxvirus , Poxviridae , Chitovirales , Pokkesviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
1031538 , Neptunomonas concharum  , Neptunomonas , Oceanospirillaceae , Oceanospirillales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1032474 , Aeropyrum pernix ovoid virus 1  , Betaguttavirus , Guttaviridae , , , , , Viruses 
1032623 , Otariodibacter oris  , Otariodibacter , Pasteurellaceae , Pasteurellales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1033854 , Thioalkalivibrio sulfidiphilus  , Thioalkalivibrio , Ectothiorhodospiraceae , Chromatiales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1034377 , Socyvirus heteroderae  , Socyvirus , Nyamiviridae , Mononegavirales , Monjiviricetes , Negarnaviricota , Orthornavirae , Viruses 
103731 , Saccharothrix espanaensis  , Saccharothrix , Pseudonocardiaceae , Pseudonocardiales , Actinomycetes , Actinomycetota , , Bacteria 
103816 , Rhodococcus pyridinivorans  , Rhodococcus , Nocardiaceae , Mycobacteriales , Actinomycetes , Actinomycetota , , Bacteria 
104 , Cyclobacterium marinum  , Cyclobacterium , Cyclobacteriaceae , Cytophagales , Cytophagia , Bacteroidota , , Bacteria 
10406 , Ground squirrel hepatitis virus  , Orthohepadnavirus , Hepadnaviridae , Blubervirales , Revtraviricetes , Artverviricota , Pararnavirae , Viruses 
104580 , Kadipiro virus  , Seadornavirus , Sedoreoviridae , Reovirales , Resentoviricetes , Duplornaviricota , Orthornavirae , Viruses 
1047171 , Zymoseptoria tritici  , Zymoseptoria , Mycosphaerellaceae , Mycosphaerellales , Dothideomycetes , Ascomycota , Fungi , Eukaryota 
1048396 , Halopenitus persicus  , Halopenitus , Haloferacaceae , Haloferacales , Halobacteria , Euryarchaeota , , Archaea 
10484 , Ichnoviriform sonorense  , Ichnoviriform , Polydnaviriformidae , , , , , Viruses 
1048434 , Rose yellow mosaic virus  , Roymovirus , Potyviridae , Patatavirales , Stelpaviricetes , Pisuviricota , Orthornavirae , Viruses 
1048758 , Candidatus Moranella endobia  , Candidatus Moranella , Enterobacteriaceae , Enterobacterales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1049 , Allochromatium vinosum  , Allochromatium , Chromatiaceae , Chromatiales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
104955 , Limosilactobacillus frumenti  , Limosilactobacillus , Lactobacillaceae , Lactobacillales , Bacilli , Bacillota , , Bacteria 
10497 , African swine fever virus  , Asfivirus , Asfarviridae , Asfuvirales , Pokkesviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
1050 , Thermochromatium tepidum  , Thermochromatium , Chromatiaceae , Chromatiales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
10506 , Paramecium bursaria Chlorella virus 1  , Chlorovirus , Phycodnaviridae , Algavirales , Megaviricetes , Nucleocytoviricota , Bamfordvirae , Viruses 
105219 , Ralstonia mannitolilytica  , Ralstonia , Burkholderiaceae , Burkholderiales , Betaproteobacteria , Pseudomonadota , , Bacteria 
1053 , Halorhodospira halophila  , Halorhodospira , Ectothiorhodospiraceae , Chromatiales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
1055104 , Cobetia amphilecti  , Cobetia , Halomonadaceae , Oceanospirillales , Gammaproteobacteria , Pseudomonadota , , Bacteria 
105560 , Methylibium petroleiphilum  , Methylibium , Sphaerotilaceae , Burkholderiales , Betaproteobacteria , Pseudomonadota , , Bacteria 
10561 , Xipapillomavirus 1  , Xipapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
10564 , Deltapapillomavirus 2  , Deltapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
10567 , Iotapapillomavirus 1  , Iotapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
1056807 , Morococcus cerebrosus  , Morococcus , Neisseriaceae , Neisseriales , Betaproteobacteria , Pseudomonadota , , Bacteria 
1056831 , Kratiovirus larva  , Kratiovirus , , , Caudoviricetes , Uroviricota , Heunggongvirae , Viruses 
10570 , Alphapapillomavirus 12  , Alphapapillomavirus , Papillomaviridae , Zurhausenvirales , Papovaviricetes , Cossaviricota , Shotokuvirae , Viruses 
106 , Runella slithyformis  , Runella , Spirosomataceae , Cytophagales , Cytophagia , Bacteroidota , , Bacteria 
