Species_ID,NCBI RefSeq,Superkingdom
1000373,NC_016757.1, Viruses 
100225,NZ_CP031447.1, Bacteria 
1002689,NZ_CP093313.1, Bacteria 
1003891,NC_015395.1, Viruses 
1005039,NZ_CP007139.1, Bacteria 
1005962,NC_027866.1, Eukaryota 
1006,NC_014759.1, Bacteria 
1006576,NZ_LN824141.1, Bacteria 
100716,NC_011026.1, Bacteria 
1008,NC_016940.1, Bacteria 
100886,NZ_CP102271.1, Bacteria 
100887,NC_002351.1, Viruses 
101192,NC_019977.1, Archaea 
101385,NC_018013.1, Bacteria 
1014,NZ_LR134404.1, Bacteria 
101534,NC_007292.1, Bacteria 
1018,NC_013162.1, Bacteria 
102116,NC_019748.1, Bacteria 
102134,NC_021184.1, Bacteria 
10261,NC_002188.1, Viruses 
1027273,NZ_CP013251.1, Bacteria 
10273,NC_001132.2, Viruses 
10276,NC_003389.1, Viruses 
10279,NC_001731.1, Viruses 
1031538,NZ_CP043869.1, Bacteria 
1032474,NC_028256.1, Viruses 
1032623,NZ_CP016604.1, Bacteria 
1033854,NC_011901.1, Bacteria 
1034377,NC_024702.1, Viruses 
103731,NC_019673.1, Bacteria 
103816,NC_023150.1, Bacteria 
104,NC_015914.1, Bacteria 
10406,NC_001484.1, Viruses 
104580,NC_004209.1, Viruses 
1047171,NC_018218.1, Eukaryota 
1048396,NZ_AP017558.1, Archaea 
10484,NC_007992.1, Viruses 
1048434,NC_019031.1, Viruses 
1048758,NC_021057.1, Bacteria 
1049,NC_013851.1, Bacteria 
104955,NZ_CP044534.1, Bacteria 
10497,NC_001659.2, Viruses 
1050,NZ_CP039268.1, Bacteria 
10506,NC_000852.5, Viruses 
105219,NZ_CP010799.1, Bacteria 
1053,NC_008789.1, Bacteria 
1055104,NZ_CP084115.1, Bacteria 
105560,NC_008825.1, Bacteria 
10561,NC_004197.1, Viruses 
10564,NC_001523.1, Viruses 
10567,NC_001605.1, Viruses 
1056807,NZ_CP094242.1, Bacteria 
1056831,NC_023724.1, Viruses 
10570,NC_001678.1, Viruses 
106,NC_015703.1, Bacteria 
1061,NC_014034.1, Bacteria 
10623,NC_001541.1, Viruses 
106284,NC_003288.1, Viruses 
1063,NC_011963.1, Bacteria 
106370,NC_007777.1, Bacteria 
106592,NZ_CP015880.1, Bacteria 
10661,NC_000867.1, Viruses 
10665,NC_000866.4, Viruses 
10677,NC_000929.1, Viruses 
